epoch,L3_val_acc,L2_val_acc,L1_TBI_mean,L1_TBI_std,L2_TBI_mean,L2_TBI_std,L3_TBI_mean,L3_TBI_std,lambda_td_L2_L1,lambda_td_L3_L2,update_fraction,prediction_error,epoch_time_s
0,0.4887,0.2148,0.5237,0.1111,0.3492,0.2159,0.4650,0.1674,0.0000,0.0000,0.9996,0.0005,40.0
1,0.5077,0.2305,0.5237,0.1111,0.3686,0.2357,0.4532,0.1653,0.2632,0.2632,0.9950,0.0005,39.8
2,0.5524,0.2305,0.5237,0.1111,0.4028,0.2894,0.4439,0.1673,0.5263,0.5263,0.9751,0.0004,40.0
3,0.5423,0.2305,0.5237,0.1111,0.4157,0.3217,0.4388,0.1652,0.7895,0.7895,0.9019,0.0004,39.5
4,0.5542,0.2305,0.5237,0.1111,0.4141,0.3241,0.4151,0.1622,1.0526,1.0526,0.8567,0.0004,39.8
5,0.5476,0.2266,0.5237,0.1111,0.4182,0.3268,0.3947,0.1512,1.3158,1.3158,0.8320,0.0003,39.7
6,0.5536,0.2227,0.5237,0.1111,0.4232,0.3289,0.3894,0.1526,1.5789,1.5789,0.8478,0.0003,39.6
7,0.5530,0.2227,0.5237,0.1111,0.4305,0.3298,0.3581,0.1385,1.8421,1.8421,0.8468,0.0003,39.4
8,0.5542,0.2227,0.5237,0.1111,0.4354,0.3303,0.3365,0.1300,2.1053,2.1053,0.8615,0.0003,39.7
9,0.5577,0.2227,0.5237,0.1111,0.4384,0.3303,0.3482,0.1411,2.3684,2.3684,0.8613,0.0003,39.6
10,0.5565,0.2227,0.5237,0.1111,0.4401,0.3303,0.3505,0.1412,2.6316,2.6316,0.8652,0.0004,39.6
11,0.5399,0.2227,0.5237,0.1111,0.4513,0.3313,0.3785,0.1474,2.8947,2.8947,0.8621,0.0004,39.7
12,0.5625,0.2227,0.5237,0.1111,0.4701,0.3338,0.3924,0.1519,3.1579,3.1579,0.8489,0.0005,39.3
13,0.5119,0.2227,0.5237,0.1111,0.4809,0.3354,0.4064,0.1576,3.4211,3.4211,0.8437,0.0006,39.5
14,0.5506,0.2227,0.5237,0.1111,0.4740,0.3337,0.4112,0.1560,3.6842,3.6842,0.8368,0.0006,39.2
15,0.5280,0.2227,0.5237,0.1111,0.4678,0.3320,0.4362,0.1619,3.9474,3.9474,0.8379,0.0008,39.1
16,0.5411,0.2227,0.5237,0.1111,0.4672,0.3317,0.4545,0.1645,4.2105,4.2105,0.8387,0.0008,39.6
17,0.5214,0.2227,0.5237,0.1111,0.4792,0.3326,0.4733,0.1698,4.4737,4.4737,0.8292,0.0009,39.5
18,0.5202,0.2227,0.5237,0.1111,0.4974,0.3346,0.4900,0.1786,4.7368,4.7368,0.8576,0.0010,39.8
19,0.5423,0.2227,0.5237,0.1111,0.5162,0.3378,0.4986,0.1836,5.0000,5.0000,0.8591,0.0010,39.8
